valor,hora,tipo,saldo
2044.92,18,transferencia,161820.36
1548.7,9,pagamento,108998.36
1637.47,22,transferencia,142349.78
771.73,17,transferencia,64527.98
440.29,8,transferencia,90353.61
2620.2,8,levantamento,55383.91
4812.18,17,transferencia,37040.05
1388.4,5,deposito,33321.22
6436.08,15,pagamento,102000.68
1569.94,11,transferencia,94980.67
378.79,1,pagamento,104606.75
3769.13,16,transferencia,86566.5
1232.22,8,pagamento,36358.88
4052.23,4,levantamento,133587.19
650.65,16,levantamento,71178.19
2514.01,14,levantamento,112486.09
953.02,6,transferencia,118525.08
2124.14,18,pagamento,101412.99
3338.53,5,levantamento,91212.42
2772.54,3,transferencia,91189.34
1911.21,11,transferencia,132477.62
600.18,18,pagamento,68935.25
3243.07,5,transferencia,108764.37
4126.33,23,pagamento,89887.25
784.94,21,transferencia,113411.97
882.87,13,pagamento,100072.02
4267.77,15,levantamento,111148.42
1530.34,21,transferencia,92716.76
901.36,4,pagamento,18140.28
2248.56,4,pagamento,69225.67
1084.83,16,pagamento,18103.09
2056.65,3,deposito,34232.36
1299.11,10,levantamento,98593.3
1391.3,23,deposito,124812.53
4395.42,5,transferencia,83903.98
250.93,22,deposito,67611.66
2818.05,11,pagamento,102491.99
3852.05,10,levantamento,63769.48
1099.27,8,deposito,48170.47
3828.44,23,pagamento,103027.06
839.48,19,levantamento,50132.09
1066.37,12,levantamento,77364.31
972.5,22,pagamento,86700.5
3870.09,14,transferencia,120012.51
447.66,2,transferencia,44173.11
6715.13,4,transferencia,57834.52
1416.65,18,levantamento,144175.82
2957.0,14,transferencia,72777.26
2759.95,6,pagamento,10920.66
2040.57,2,transferencia,55355.36
1118.17,7,pagamento,138443.18
4884.87,12,transferencia,93368.24
1197.65,15,pagamento,108957.09
1007.27,7,levantamento,125686.55
3648.85,21,levantamento,115319.93
2031.64,8,levantamento,72556.97
5357.52,1,transferencia,104413.19
1719.63,21,transferencia,51078.98
1074.17,19,levantamento,77831.17
2252.5,22,pagamento,46471.78
1263.84,0,transferencia,40483.99
1099.34,19,pagamento,79511.83
3517.52,12,pagamento,82740.92
7826.29,12,transferencia,22114.24
1484.5,10,transferencia,65283.01
828.99,9,transferencia,87739.2
1599.16,19,levantamento,115603.22
2729.41,5,deposito,31171.39
2221.6,15,pagamento,110587.33
4700.32,5,deposito,112127.07
3078.11,21,transferencia,96275.89
747.9,19,pagamento,128008.75
1218.46,20,levantamento,106156.09
599.04,12,pagamento,81834.36
4517.63,11,pagamento,79191.19
367.41,7,transferencia,48917.54
647.64,2,transferencia,105895.57
1200.58,12,transferencia,12242.75
2838.79,21,transferencia,58409.84
1191.15,0,pagamento,-1477.25
1349.94,9,pagamento,56843.99
1371.39,21,transferencia,49549.49
2076.06,14,deposito,129332.56
681.02,10,pagamento,106163.75
847.47,15,deposito,39457.31
6937.79,23,pagamento,91510.21
2494.69,20,pagamento,99438.25
3323.01,22,pagamento,113613.98
1893.96,20,deposito,123178.43
1616.11,2,transferencia,77246.16
2606.35,8,pagamento,134223.15
3235.99,6,levantamento,60855.33
3557.67,23,transferencia,53285.09
1633.94,15,transferencia,44226.39
3882.76,22,transferencia,97892.42
251.4,6,pagamento,103524.47
3691.65,7,transferencia,57697.69
1284.95,23,deposito,58180.82
2814.97,21,deposito,81101.99
1075.5,19,levantamento,19415.09
625.56,4,pagamento,96034.2
2372.65,5,levantamento,48042.07
543.91,8,transferencia,61910.34
1313.25,4,pagamento,82917.06
943.93,8,levantamento,33359.88
1571.8,23,deposito,39808.08
3421.27,9,deposito,-41781.81
1221.85,5,deposito,98565.69
2325.43,0,pagamento,30654.45
3266.51,12,levantamento,89326.73
1112.31,4,pagamento,84458.96
1125.29,18,levantamento,88103.56
5407.07,15,pagamento,73357.34
1696.78,14,transferencia,45174.22
2717.07,13,deposito,43746.16
2700.65,13,transferencia,79105.92
693.4,3,pagamento,150597.69
983.68,6,transferencia,133355.83
2441.28,21,pagamento,97800.41
345.9,14,pagamento,92517.76
1526.85,21,pagamento,100089.05
904.85,4,pagamento,82017.69
4395.8,0,transferencia,105488.76
2384.85,18,transferencia,90046.72
4689.11,20,levantamento,74172.35
1752.33,17,transferencia,73841.98
1650.59,13,transferencia,134106.49
1416.66,1,transferencia,148603.02
1208.99,3,levantamento,95896.55
15486.52,6,transferencia,26094.25
3448.64,0,pagamento,42537.32
770.51,11,transferencia,44041.22
14934.77,0,deposito,80096.91
1307.69,13,levantamento,73683.94
2337.7,23,levantamento,64324.02
3834.05,5,transferencia,4305.74
528.29,0,levantamento,139350.27
932.75,22,pagamento,81914.8
6758.34,1,pagamento,128112.49
1510.41,16,pagamento,84465.77
4019.59,7,deposito,139718.68
1257.93,17,pagamento,124044.3
1675.64,21,transferencia,114911.59
7541.72,16,transferencia,82905.93
2565.76,15,pagamento,63252.95
1372.13,14,pagamento,159443.05
1046.61,14,pagamento,74037.07
1126.08,23,pagamento,104652.28
4881.7,22,deposito,91060.58
3335.57,11,levantamento,90349.89
721.3,16,pagamento,112951.5
1938.64,23,transferencia,92651.49
1713.93,17,levantamento,47678.51
2328.25,7,transferencia,14283.37
1115.59,8,pagamento,101336.51
4351.36,14,transferencia,80767.74
1806.11,12,transferencia,64962.96
2437.55,4,transferencia,71547.96
965.12,20,pagamento,78870.79
1004.81,22,transferencia,7791.57
15153.83,0,transferencia,81283.52
7631.69,20,pagamento,49229.59
1710.01,11,levantamento,69899.13
6163.52,0,deposito,99308.1
4770.42,23,deposito,100867.13
1096.45,23,levantamento,11902.82
1012.37,16,transferencia,88954.86
3086.96,1,pagamento,66158.55
2226.19,6,deposito,72451.67
1310.8,22,pagamento,100292.4
3219.5,2,pagamento,72682.3
570.22,17,levantamento,70948.39
1982.28,13,transferencia,34302.65
671.06,9,deposito,80266.45
688.98,23,transferencia,127756.52
1027.2,6,transferencia,80618.95
2417.84,13,transferencia,61272.54
1053.43,2,transferencia,120636.68
682.33,10,levantamento,168912.56
2648.63,14,deposito,72346.71
5968.18,18,transferencia,112362.58
3014.17,22,pagamento,80335.28
7642.19,11,transferencia,45008.18
5582.22,4,transferencia,67029.71
1224.22,8,transferencia,150415.72
2998.08,6,levantamento,37499.92
1680.25,14,deposito,74227.09
4228.83,0,pagamento,98830.39
1680.0,0,deposito,81413.74
962.03,5,deposito,28364.7
5424.74,20,transferencia,120400.56
2331.43,4,pagamento,56395.22
1063.35,10,pagamento,38977.86
1213.2,10,deposito,55846.61
1057.92,13,pagamento,87903.37
811.27,7,deposito,77200.15
1233.96,23,levantamento,37619.47
2436.74,13,pagamento,116329.8
1903.12,8,levantamento,118773.61
1273.38,10,transferencia,176442.52
5981.38,10,transferencia,63735.04
361.95,19,deposito,88329.97
2309.78,20,transferencia,25679.94
1612.91,15,deposito,78217.34
832.02,11,levantamento,72537.03
2420.1,6,levantamento,96101.62
1516.56,2,transferencia,36060.66
4903.28,11,transferencia,58999.33
3620.81,5,pagamento,48000.38
8307.42,18,levantamento,94701.55
1228.25,3,transferencia,96072.88
5526.13,9,transferencia,52523.81
711.46,7,transferencia,63301.23
1654.89,9,pagamento,48268.7
1246.14,15,pagamento,72676.72
2927.65,10,transferencia,73384.91
2871.59,3,pagamento,84390.29
879.63,12,levantamento,104098.0
3061.17,19,pagamento,67593.52
1333.56,22,transferencia,60060.17
940.64,2,transferencia,37252.73
1791.08,2,levantamento,46263.33
554.75,16,pagamento,90615.6
3808.71,6,pagamento,98356.39
1729.35,10,levantamento,124798.85
1759.88,3,pagamento,95716.52
1686.26,15,levantamento,86939.45
6751.23,6,levantamento,84626.59
6094.26,15,pagamento,104296.98
5327.35,17,levantamento,56471.88
1689.13,20,transferencia,49004.98
740.63,11,transferencia,85291.32
1785.08,22,transferencia,91655.76
2325.1,8,transferencia,106167.99
3463.68,9,levantamento,65876.95
2319.13,3,levantamento,117412.08
795.37,5,transferencia,62488.41
1178.11,18,transferencia,87500.35
1095.64,17,pagamento,107382.97
2782.88,11,deposito,21460.65
2838.07,17,deposito,109945.26
3151.73,20,pagamento,88633.98
2300.38,2,levantamento,64005.09
348.15,17,pagamento,73127.6
454.55,1,levantamento,20490.91
1616.23,18,transferencia,74219.9
1955.62,16,transferencia,20690.58
4929.2,10,transferencia,135041.53
1924.14,12,levantamento,13893.44
828.19,23,pagamento,27115.53
3070.92,8,transferencia,128068.19
1783.26,16,transferencia,93568.54
1310.75,12,transferencia,146395.93
496.87,20,transferencia,62565.82
1935.56,23,pagamento,67533.45
2171.24,12,transferencia,103653.06
814.91,1,levantamento,70734.69
3279.63,16,transferencia,138221.67
3052.87,4,deposito,69165.9
1880.19,13,deposito,82930.25
1825.08,16,levantamento,81499.32
3853.86,5,deposito,88482.51
2426.06,8,deposito,63734.67
1030.91,23,pagamento,91773.9
1543.61,11,levantamento,89017.78
2822.79,21,transferencia,42777.05
355.72,19,pagamento,82434.42
858.15,22,pagamento,119776.04
3120.38,11,levantamento,43654.82
4755.71,21,levantamento,123955.04
4092.2,6,levantamento,102275.15
3694.63,17,pagamento,121557.35
2005.79,22,pagamento,69825.21
793.84,19,levantamento,16449.6
1544.88,4,transferencia,114685.98
367.01,10,pagamento,18296.96
5118.03,13,levantamento,49973.22
940.4,6,pagamento,51604.18
1180.06,10,pagamento,59056.45
4217.07,1,transferencia,74741.03
496.86,16,pagamento,144244.38
698.18,14,pagamento,95544.35
2240.33,20,pagamento,143621.83
2741.62,0,levantamento,97142.86
1707.25,12,pagamento,68278.41
1752.39,5,levantamento,57838.28
4987.56,1,transferencia,66577.99
3008.07,1,pagamento,127834.64
2699.81,19,transferencia,131783.88
3362.76,9,transferencia,71839.61
1421.59,17,transferencia,123458.51
10285.93,11,deposito,138645.14
285.42,18,transferencia,128950.22
5804.2,12,levantamento,54291.17
3720.77,7,pagamento,68404.35
2205.33,22,transferencia,96931.16
1927.58,15,transferencia,78954.99
1596.48,10,transferencia,108832.86
4371.03,22,transferencia,80221.75
1751.29,19,transferencia,67192.25
1009.99,3,pagamento,61430.13
3720.4,16,transferencia,184537.79
6424.11,7,deposito,22274.73
386.94,0,levantamento,35999.19
11916.43,19,transferencia,100544.6
788.88,2,transferencia,104978.81
838.62,12,pagamento,46337.38
667.87,0,transferencia,107741.98
1809.27,22,transferencia,94679.95
649.51,22,pagamento,96225.28
715.79,1,levantamento,60706.56
1042.27,4,pagamento,10113.88
2019.82,7,deposito,86736.02
2181.75,16,levantamento,91504.83
4880.28,22,transferencia,106265.31
4791.12,22,levantamento,124702.79
4103.88,1,deposito,138846.9
1466.61,7,deposito,110016.71
414.49,10,levantamento,130276.62
407.22,18,deposito,76429.61
4081.35,12,levantamento,102385.4
3551.07,6,transferencia,85241.93
1103.94,18,transferencia,98942.86
571.01,5,levantamento,59688.99
782.33,12,levantamento,44400.1
2079.24,16,pagamento,47311.59
2082.34,19,pagamento,83140.38
4163.14,22,transferencia,114677.63
1261.07,22,transferencia,129619.73
1487.38,3,pagamento,145027.77
4448.21,10,levantamento,106695.13
330.27,16,transferencia,122333.84
2330.79,0,transferencia,114472.58
1383.84,10,transferencia,101084.84
3197.77,18,deposito,73890.52
2724.62,12,transferencia,110181.23
1035.82,22,pagamento,32036.76
1204.88,13,transferencia,103954.91
286.7,15,deposito,61277.18
3294.45,13,levantamento,90247.57
2190.36,6,deposito,43133.95
5534.8,4,transferencia,77950.27
1313.54,8,levantamento,97127.75
3757.35,10,pagamento,446.37
768.21,17,deposito,114663.28
207.72,8,transferencia,136789.33
1676.37,8,levantamento,125773.68
1149.01,5,deposito,119318.37
780.04,19,transferencia,148016.73
3708.88,20,deposito,118935.66
4753.31,5,pagamento,64360.36
1967.14,3,levantamento,98962.68
1562.41,10,transferencia,94626.02
1901.06,1,levantamento,63068.8
1072.4,11,pagamento,111470.6
2835.79,7,pagamento,52396.47
527.69,12,transferencia,32960.1
766.27,3,pagamento,80408.43
960.06,8,deposito,353.53
2788.01,15,levantamento,81073.79
1419.43,1,transferencia,54452.03
5368.55,18,pagamento,39220.98
3438.01,4,transferencia,74941.01
952.53,19,deposito,157838.81
3001.22,13,levantamento,103585.53
1304.32,10,pagamento,41250.05
2640.03,2,levantamento,53543.3
3573.92,19,levantamento,80203.9
4410.62,8,pagamento,69597.04
2125.19,4,deposito,80304.97
6503.52,22,pagamento,57426.52
2573.58,23,deposito,102997.73
2014.33,17,deposito,99273.21
1419.4,8,pagamento,77675.74
1091.11,8,transferencia,68229.79
2529.83,1,transferencia,52722.21
1959.82,5,pagamento,95515.62
2227.56,3,transferencia,140539.34
2656.05,0,levantamento,73501.57
2220.04,12,pagamento,95248.11
9051.05,4,deposito,52930.14
1185.15,13,levantamento,66750.69
2555.07,13,pagamento,-3291.85
1506.95,18,levantamento,116515.93
252.35,0,transferencia,37987.01
1548.78,17,levantamento,92423.48
854.74,6,levantamento,51424.19
1713.93,16,levantamento,74246.59
1770.25,2,deposito,123120.54
2460.91,0,pagamento,93460.68
1183.06,0,transferencia,69764.9
1307.57,11,levantamento,54410.53
3167.05,12,levantamento,157710.56
946.48,23,pagamento,115997.57
415.4,21,levantamento,107221.7
2050.06,3,levantamento,94067.67
4258.53,14,transferencia,79817.25
3138.01,23,pagamento,48967.75
2080.55,22,pagamento,33478.23
4917.31,16,transferencia,35044.67
4296.75,20,pagamento,51104.13
1387.51,5,transferencia,71646.18
2203.97,21,pagamento,110991.1
2281.0,12,levantamento,87679.06
1686.82,6,transferencia,51865.84
4480.09,4,pagamento,133741.58
1600.85,10,transferencia,84749.9
1211.7,4,pagamento,86845.65
227.41,0,transferencia,88892.91
954.66,12,levantamento,122883.46
631.23,11,deposito,103192.93
1750.55,13,transferencia,86859.42
663.18,20,pagamento,45390.04
2942.3,0,pagamento,109238.56
4388.53,12,transferencia,93884.02
1763.53,17,deposito,107330.79
822.86,16,deposito,71511.59
2273.6,7,pagamento,116950.66
8223.74,7,pagamento,93991.93
6412.37,7,transferencia,89832.99
587.07,16,levantamento,36023.38
569.9,19,deposito,97696.8
464.23,11,transferencia,78853.75
728.08,10,levantamento,75454.76
2211.16,16,deposito,78416.95
1158.23,19,pagamento,67487.82
924.33,6,transferencia,85891.78
4151.76,9,deposito,32805.92
2763.01,22,transferencia,77113.9
462.31,16,transferencia,63354.38
3965.47,17,pagamento,163462.78
2710.34,21,pagamento,11590.27
2758.96,21,levantamento,74730.76
1145.53,16,levantamento,96555.72
1556.44,19,pagamento,95885.46
373.09,10,pagamento,103442.71
3617.68,8,transferencia,68047.14
813.1,7,deposito,1469.81
900.99,10,levantamento,62666.45
891.31,3,deposito,79869.16
7633.65,18,transferencia,98215.61
1058.95,7,transferencia,89495.28
3842.23,8,transferencia,64477.34
1773.67,13,pagamento,78809.85
931.42,13,deposito,112980.68
805.67,0,pagamento,62703.62
1093.26,14,pagamento,96111.38
1703.48,7,levantamento,70292.68
2925.99,4,transferencia,73662.12
1240.42,18,pagamento,152288.66
1203.84,15,pagamento,30206.52
893.44,9,deposito,34911.73
695.59,10,transferencia,44496.35
650.57,4,pagamento,95565.88
3985.52,9,deposito,58430.78
1184.33,15,deposito,45622.09
1271.28,3,transferencia,109701.65
1060.73,0,levantamento,69859.87
1403.21,23,transferencia,44436.62
2432.95,14,pagamento,90297.86
1224.75,6,pagamento,136256.3
2089.32,19,pagamento,114861.72
5622.7,3,transferencia,36105.56
938.49,13,pagamento,58194.36
1272.1,4,transferencia,68894.23
3019.51,16,deposito,84021.68
5989.94,3,deposito,80837.14
669.25,4,transferencia,85960.74
463.76,23,pagamento,139878.72
1807.17,16,transferencia,59204.74
1663.86,10,pagamento,59539.76
3165.72,3,transferencia,76045.06
2801.89,14,transferencia,80025.25
1759.58,6,transferencia,50709.87
4185.46,4,levantamento,43247.2
1048.57,13,pagamento,110700.21
2141.51,0,deposito,120851.43
683.64,6,transferencia,104139.38
1748.12,12,deposito,88679.55
-561.77,12,pagamento,117854.27
740.5,0,pagamento,121791.96
7097.95,14,deposito,98331.12
420.05,1,transferencia,38607.85
1520.32,7,deposito,87706.48
3504.39,7,transferencia,77600.49
10690.22,23,pagamento,60432.14
2083.2,13,levantamento,90349.79
2180.65,21,pagamento,70916.65
1866.37,22,transferencia,36477.15
4212.4,3,deposito,81279.36
2553.86,12,transferencia,72619.73
1141.31,4,pagamento,48161.98
4413.44,13,transferencia,77906.58
1249.19,17,deposito,142604.97
503.31,9,transferencia,107129.12
504.59,3,pagamento,101911.07
1539.4,6,pagamento,99192.49
1963.4,3,deposito,31559.12
3883.54,21,deposito,132565.61
3018.92,10,deposito,88238.14
1927.31,10,pagamento,65704.65
4061.1,11,levantamento,76558.36
1826.56,23,transferencia,20820.88
643.94,14,pagamento,88145.96
540.9,4,pagamento,132820.3
5028.87,7,deposito,91748.61
300.01,19,transferencia,50214.08
1539.8,10,levantamento,143284.07
19642.18,17,levantamento,26134.48
2610.73,17,pagamento,35328.42
1530.22,22,pagamento,58733.0
469.86,5,transferencia,125675.67
6593.87,17,levantamento,84297.37
4774.58,18,transferencia,98350.73
3127.03,13,levantamento,36139.47
1807.23,10,deposito,165449.34
2857.24,6,deposito,22423.51
1605.36,13,levantamento,32768.52
829.97,15,levantamento,6855.47
3885.74,21,levantamento,158380.72
1736.23,12,pagamento,105829.74
2745.05,5,transferencia,146090.23
1641.07,22,transferencia,86124.37
2616.14,14,transferencia,78720.71
1787.2,4,transferencia,55077.03
1679.01,16,pagamento,49649.46
1851.94,4,levantamento,78277.92
19316.13,17,pagamento,115190.39
3435.53,9,levantamento,85412.59
14311.9,18,pagamento,52962.37
1796.36,1,levantamento,106053.51
1411.99,20,levantamento,170476.01
765.59,15,deposito,101570.43
6519.71,20,pagamento,106053.27
876.43,12,transferencia,86790.99
7689.79,20,pagamento,65888.66
801.95,21,transferencia,123577.82
3675.07,18,pagamento,164627.52
506.33,23,pagamento,84927.82
1269.57,2,transferencia,68751.25
1840.27,17,transferencia,70686.85
1121.03,13,transferencia,99127.77
1578.99,21,pagamento,49720.04
1585.04,6,transferencia,136598.35
3447.99,11,pagamento,47564.77
340.56,16,transferencia,128017.44
1152.47,11,pagamento,59855.97
4933.03,2,transferencia,57832.83
2835.53,22,transferencia,90302.67
4999.18,7,pagamento,63816.63
3317.71,17,deposito,20840.52
759.9,20,pagamento,122799.75
3067.81,20,pagamento,147144.92
1958.93,14,transferencia,41381.03
11097.21,18,levantamento,71802.83
3434.86,12,deposito,93897.83
2748.18,15,pagamento,78785.36
3088.8,14,transferencia,107457.97
2630.89,10,deposito,71846.22
2574.58,12,transferencia,65118.25
1461.13,20,deposito,78854.51
2774.92,13,pagamento,71897.19
3861.35,12,pagamento,127884.08
4222.84,7,pagamento,87601.42
3832.58,10,deposito,97841.76
6041.76,13,deposito,91360.95
4439.57,18,transferencia,67289.57
2989.36,14,pagamento,39108.69
724.2,21,transferencia,105883.65
724.43,9,levantamento,59197.35
1482.51,3,deposito,118457.42
1876.95,6,transferencia,44115.57
5532.53,23,levantamento,35758.13
195.63,5,levantamento,121152.48
791.11,0,pagamento,142473.86
1547.85,21,pagamento,71899.91
814.45,19,levantamento,112800.49
954.81,10,deposito,132024.53
1212.78,18,deposito,95633.41
848.39,2,pagamento,69940.53
974.63,2,levantamento,98382.63
5380.77,0,transferencia,80222.5
2955.59,9,pagamento,172619.39
3331.42,13,pagamento,65985.99
1759.35,16,levantamento,124023.5
4059.78,1,deposito,75727.37
3562.57,13,transferencia,70086.26
2918.52,4,deposito,44827.82
1071.34,6,pagamento,33984.34
1269.49,14,transferencia,129568.75
4215.42,20,levantamento,87359.86
1195.85,18,transferencia,42052.27
644.96,20,deposito,76667.96
1177.54,5,pagamento,91099.37
6295.09,19,pagamento,100296.53
1178.47,3,deposito,62817.43
2349.89,13,deposito,50718.75
1104.83,0,deposito,35509.06
3330.04,22,transferencia,100815.05
2777.87,7,transferencia,70439.38
548.43,19,pagamento,38087.86
2240.44,5,transferencia,50550.51
470.56,14,transferencia,71910.28
1160.66,5,transferencia,136716.86
1791.58,14,transferencia,77054.54
7922.74,0,pagamento,104847.02
2331.65,9,transferencia,77815.82
978.8,3,pagamento,74243.79
1402.81,13,transferencia,143938.88
3787.11,21,pagamento,133600.29
989.49,11,deposito,46399.25
4348.49,19,pagamento,134465.67
1189.82,15,levantamento,107662.6
869.35,19,transferencia,77792.27
1220.72,6,transferencia,66412.83
496.2,6,levantamento,66903.53
317.96,23,deposito,51207.82
1692.52,6,deposito,73243.35
1713.27,5,deposito,96215.57
2219.79,18,levantamento,91177.01
1685.84,14,levantamento,28388.55
11653.97,22,transferencia,100224.09
2068.81,21,levantamento,54110.6
601.14,9,deposito,109085.65
738.09,11,deposito,13578.56
1808.48,7,transferencia,33344.47
1276.22,3,levantamento,100564.26
676.69,6,pagamento,141569.23
1724.9,22,transferencia,85165.11
1745.19,2,levantamento,31913.8
6480.51,7,pagamento,139676.35
868.81,12,levantamento,90757.96
1294.42,12,deposito,99873.68
6464.58,15,pagamento,95776.55
2351.64,15,pagamento,90896.02
864.75,1,levantamento,123881.33
1020.67,2,transferencia,120691.28
684.49,14,pagamento,102554.14
1923.34,16,deposito,45205.5
4125.44,1,transferencia,126907.43
6665.64,16,pagamento,98824.22
550.58,5,pagamento,129233.1
3623.86,10,pagamento,51044.52
2062.04,4,levantamento,59392.58
1466.24,5,transferencia,119236.05
1294.82,2,deposito,69091.12
388.87,22,transferencia,59215.02
3012.12,3,levantamento,90649.26
629.49,14,pagamento,74997.5
993.71,16,deposito,88268.09
2525.99,2,pagamento,79824.47
422.71,15,levantamento,40563.58
628.52,20,pagamento,90970.62
4793.09,22,levantamento,52104.91
1993.5,15,transferencia,122499.47
1064.48,20,transferencia,26145.81
1999.79,0,pagamento,100525.81
3088.93,20,transferencia,64338.76
4446.24,10,transferencia,88398.17
742.52,0,transferencia,47592.47
796.42,6,transferencia,84949.35
2941.5,8,transferencia,33461.9
3017.94,12,pagamento,55229.59
616.97,21,levantamento,70129.34
820.69,19,transferencia,84994.6
1548.44,5,transferencia,99079.11
1842.47,16,levantamento,40654.88
1884.74,19,pagamento,106276.4
609.44,5,deposito,45302.01
1869.57,1,levantamento,96461.78
1018.52,2,transferencia,44947.76
711.19,19,pagamento,64751.1
1792.21,5,pagamento,78984.05
1651.77,18,transferencia,95412.4
3433.57,0,pagamento,163991.01
907.98,21,deposito,115224.06
2182.3,23,transferencia,58465.88
515.46,15,transferencia,129846.86
1451.16,7,transferencia,-1254.5
2620.03,15,pagamento,84022.22
2802.92,3,pagamento,90326.88
2818.24,21,transferencia,97802.9
90186.0,14,transferencia,45809.61
1265.68,13,deposito,76896.7
2688.07,0,pagamento,37238.47
8062.64,21,levantamento,43992.86
1244.26,0,levantamento,-12341.99
5454.29,3,transferencia,92721.27
3645.24,14,levantamento,54427.87
1461.09,5,pagamento,126355.58
1561.96,3,levantamento,95893.12
1987.68,19,levantamento,72961.09
3484.68,3,transferencia,99391.2
2495.16,9,levantamento,94674.01
1236.45,6,pagamento,144529.94
341.85,5,deposito,55594.63
3095.61,22,deposito,45088.52
385.29,3,pagamento,24751.49
606.2,12,pagamento,80544.88
1310.31,10,levantamento,81563.32
684.53,20,levantamento,-7804.11
2330.93,8,pagamento,75515.32
1426.6,7,transferencia,127165.43
3388.64,9,deposito,148265.18
499.61,1,transferencia,109004.67
1064.74,23,transferencia,83265.03
1814.13,2,transferencia,107554.84
1870.91,1,transferencia,98764.58
3150.22,17,transferencia,47126.95
