idade,rendimento,anos_emprego,montante_emprestimo,taxa_juro,percentagem_rendimento,historico_credito,habitacao,finalidade_emprestimo,classe_emprestimo,historico_incumprimento,estado_emprestimo
32.0,42096.1,28.3,52639.52,,1.25,7.3,propria,negocio,B,nao,0
68.0,52184.5,5.9,66088.34,17.52,1.266,8.3,arrendada,pessoal,D,nao,0
33.0,88019.06,28.7,163761.44,19.4,1.861,12.6,hipoteca,pessoal,C,nao,0
30.0,82712.84,11.8,5705.7,27.78,0.069,9.5,hipoteca,saude,D,sim,1
64.0,41417.06,23.6,252767.85,27.8,6.103,11.5,arrendada,pessoal,D,nao,1
50.0,104155.81,7.5,140481.23,22.29,1.349,14.9,arrendada,pessoal,C,nao,1
49.0,96953.31,22.7,86476.89,25.29,0.892,11.6,outra,educacao,A,nao,0
67.0,60575.25,21.7,50362.37,22.74,0.831,3.0,outra,saude,D,nao,1
54.0,120863.32,11.1,14443.12,13.18,0.119,9.0,hipoteca,habitacao,D,nao,0
61.0,32221.49,14.3,158899.82,24.73,4.931,3.7,outra,habitacao,B,nao,1
63.0,77230.74,9.1,275186.77,29.99,3.563,15.6,outra,negocio,A,sim,1
52.0,125060.53,0.2,80435.58,25.13,0.643,9.5,outra,negocio,B,nao,0
56.0,31372.44,,256007.48,7.26,8.16,19.2,hipoteca,negocio,B,nao,0
40.0,74022.99,18.6,199547.56,15.43,2.696,5.3,propria,educacao,B,nao,0
56.0,71554.5,5.8,258967.55,24.38,3.619,10.3,hipoteca,saude,A,nao,1
66.0,73220.3,12.4,187530.42,31.17,2.561,2.5,,saude,A,nao,1
68.0,82301.16,16.7,146764.44,20.63,1.783,18.4,propria,pessoal,B,nao,0
30.0,50338.24,11.6,95070.34,21.58,1.889,5.6,arrendada,negocio,B,nao,0
43.0,54704.51,3.4,68365.73,27.67,1.25,15.4,hipoteca,pessoal,A,sim,1
40.0,38349.25,9.5,80118.01,8.6,2.089,12.0,hipoteca,negocio,C,nao,1
30.0,40463.25,19.6,194915.72,15.56,4.817,1.4,outra,pessoal,B,nao,0
52.0,69144.89,11.9,218549.65,10.94,3.161,19.3,outra,saude,D,nao,1
61.0,69055.02,28.4,81753.2,15.0,1.184,18.9,propria,negocio,A,nao,0
49.0,74816.3,7.7,81429.53,20.06,1.088,15.7,hipoteca,negocio,A,sim,1
63.0,61471.76,0.9,49111.21,11.99,0.799,19.1,arrendada,saude,A,nao,0
40.0,103722.37,2.0,260815.09,28.84,2.515,14.7,outra,negocio,A,sim,1
31.0,80123.15,1.4,25550.71,16.4,0.319,6.7,hipoteca,saude,D,nao,0
61.0,31864.75,23.5,7580.02,14.95,0.238,9.0,propria,educacao,A,nao,0
27.0,100585.68,,17504.68,10.56,0.174,4.4,hipoteca,negocio,B,nao,0
57.0,86854.73,,156005.71,5.74,1.796,17.3,hipoteca,saude,C,nao,0
21.0,75857.39,15.0,183501.74,31.17,2.419,9.0,arrendada,habitacao,D,nao,1
23.0,71527.44,4.3,122815.92,7.47,1.717,2.8,outra,negocio,A,nao,0
34.0,89891.58,16.9,187890.62,,2.09,7.6,outra,educacao,C,nao,1
50.0,67190.83,20.1,202973.65,24.86,3.021,7.1,hipoteca,educacao,D,nao,1
39.0,97014.41,6.1,230565.57,29.9,2.377,17.5,propria,negocio,C,nao,1
67.0,36839.09,11.3,43221.82,8.04,1.173,2.3,hipoteca,negocio,A,nao,0
64.0,78806.92,,223050.93,29.23,2.83,15.0,arrendada,negocio,D,nao,1
45.0,57604.53,20.9,253616.9,7.92,4.403,2.8,hipoteca,saude,C,sim,1
29.0,79545.11,4.6,102373.81,7.84,1.287,12.6,propria,habitacao,B,nao,0
44.0,40126.68,0.8,282901.24,8.38,7.05,7.3,hipoteca,educacao,C,nao,1
25.0,85478.29,11.1,9176.37,25.14,0.107,5.0,arrendada,habitacao,B,nao,0
38.0,81916.46,,140124.16,11.34,1.711,11.8,,saude,B,sim,0
67.0,72444.42,10.2,229308.66,19.44,3.165,16.8,outra,negocio,A,nao,0
30.0,79307.36,18.9,154120.03,8.52,1.943,7.6,arrendada,habitacao,C,sim,1
31.0,73287.76,13.0,299331.11,30.25,4.084,14.9,propria,educacao,B,nao,1
54.0,73932.55,2.2,113949.7,23.31,1.541,8.5,hipoteca,saude,A,nao,0
28.0,81494.44,6.9,39500.18,8.2,0.485,1.4,arrendada,habitacao,C,sim,1
55.0,93667.03,,121974.75,,1.302,2.5,arrendada,habitacao,D,nao,1
27.0,85199.02,9.7,91229.38,30.84,1.071,9.4,outra,negocio,B,nao,0
65.0,81277.15,11.4,61745.18,31.27,0.76,10.0,hipoteca,pessoal,C,nao,1
35.0,82410.74,19.8,129629.96,30.18,1.573,15.0,arrendada,negocio,A,nao,0
47.0,78221.16,1.0,128865.53,,1.647,14.8,outra,educacao,C,sim,1
52.0,77194.59,16.6,221322.41,25.97,2.867,18.1,propria,educacao,A,nao,1
40.0,47548.64,14.7,178545.34,8.22,3.755,6.4,outra,educacao,D,sim,1
52.0,50715.38,4.1,166398.52,16.85,3.281,7.4,propria,pessoal,A,nao,0
40.0,89072.27,29.5,190576.31,26.2,2.14,14.2,hipoteca,negocio,C,sim,1
29.0,99552.39,14.3,247632.98,26.51,2.487,3.4,propria,saude,A,nao,1
42.0,65719.4,28.5,113556.69,31.75,1.728,17.0,arrendada,saude,A,nao,0
45.0,64964.33,22.1,235783.05,19.16,3.629,7.6,arrendada,educacao,C,nao,1
64.0,65559.51,19.2,241769.9,13.38,3.688,4.1,propria,negocio,D,nao,1
64.0,73741.04,27.8,88252.06,17.82,1.197,9.3,outra,saude,B,nao,0
59.0,57711.39,23.7,89666.39,7.48,1.554,9.1,propria,pessoal,B,nao,0
26.0,80229.23,25.1,247357.39,31.28,3.083,9.8,arrendada,educacao,A,nao,1
43.0,117962.4,23.4,277660.34,7.82,2.354,2.8,outra,educacao,C,nao,1
42.0,46698.27,,250543.06,7.66,5.365,2.4,outra,pessoal,A,nao,0
24.0,56289.92,22.1,123770.7,19.64,2.199,17.7,propria,habitacao,A,nao,0
23.0,61720.96,12.1,264625.89,,4.287,8.5,hipoteca,pessoal,B,nao,1
38.0,104207.87,0.9,224124.41,23.22,2.151,2.4,arrendada,negocio,D,nao,1
35.0,79017.33,1.3,72490.7,29.44,0.917,15.4,hipoteca,educacao,D,sim,1
62.0,34746.06,18.5,221430.84,8.77,6.373,2.7,arrendada,educacao,B,nao,0
45.0,138187.18,20.5,196283.7,22.28,1.42,17.4,arrendada,educacao,B,nao,0
45.0,80152.19,23.2,135870.59,20.97,1.695,2.1,hipoteca,pessoal,B,nao,0
26.0,47309.01,28.5,243877.81,17.63,5.155,5.3,propria,pessoal,C,nao,1
49.0,59126.59,18.5,266949.72,,4.515,15.9,arrendada,saude,B,sim,1
68.0,114751.59,,37046.95,19.93,0.323,16.6,outra,educacao,A,sim,0
31.0,74247.53,4.0,240908.68,,3.245,17.1,propria,pessoal,B,nao,0
36.0,77540.78,16.1,159394.14,30.76,2.056,13.2,outra,pessoal,A,nao,1
56.0,28623.96,9.3,272504.1,31.34,9.52,10.3,arrendada,saude,C,sim,1
41.0,82383.59,18.9,191981.04,8.91,2.33,14.2,outra,negocio,B,nao,0
51.0,87835.35,22.9,181472.43,5.43,2.066,14.1,hipoteca,educacao,A,nao,0
27.0,61457.13,14.6,165645.38,20.6,2.695,7.9,arrendada,habitacao,D,sim,1
32.0,53827.91,3.9,67769.31,18.26,1.259,7.3,arrendada,habitacao,C,nao,0
29.0,69691.26,23.7,61656.02,24.84,0.885,5.0,hipoteca,saude,A,nao,0
27.0,62144.57,10.4,12566.17,11.39,0.202,13.4,outra,negocio,A,nao,0
57.0,65160.05,22.2,161478.44,17.86,2.478,12.9,propria,pessoal,A,nao,0
63.0,48195.54,25.7,12281.56,17.37,0.255,8.7,hipoteca,negocio,C,nao,0
41.0,59011.04,18.6,212482.61,25.22,3.601,2.1,hipoteca,habitacao,B,nao,1
44.0,28197.58,5.4,43446.71,13.02,1.541,14.8,outra,saude,A,nao,0
62.0,17224.39,11.8,175198.13,15.21,10.172,14.5,propria,pessoal,B,nao,0
32.0,58440.32,10.1,83303.11,17.81,1.425,14.5,hipoteca,saude,B,nao,0
41.0,62211.27,23.2,30897.83,13.83,0.497,11.8,hipoteca,educacao,D,nao,0
27.0,83699.22,5.4,161315.63,9.73,1.927,12.9,hipoteca,pessoal,B,nao,0
24.0,92746.33,11.0,107583.04,8.09,1.16,12.9,hipoteca,saude,A,sim,0
46.0,65812.6,4.7,236312.83,26.63,3.591,6.5,arrendada,pessoal,B,nao,1
28.0,105521.79,11.7,110338.54,15.15,1.046,9.2,propria,educacao,B,nao,0
26.0,95584.28,0.0,100762.3,8.32,1.054,19.2,,pessoal,D,nao,0
61.0,54909.16,6.7,141344.21,21.29,2.574,5.7,arrendada,habitacao,B,nao,1
42.0,84959.26,25.3,7331.83,27.82,0.086,17.9,propria,pessoal,A,nao,0
26.0,64078.52,,215825.5,19.44,3.368,1.4,,habitacao,D,nao,1
39.0,64742.58,3.4,186672.76,26.25,2.883,3.1,arrendada,educacao,A,nao,1
41.0,5991.75,0.5,248196.21,6.11,41.423,1.6,hipoteca,educacao,C,nao,1
63.0,88765.56,6.0,18740.1,19.41,0.211,14.4,propria,educacao,A,sim,0
24.0,50648.11,19.9,55727.22,23.28,1.1,8.6,outra,educacao,B,nao,0
32.0,111724.87,4.3,214316.58,26.11,1.918,9.9,propria,habitacao,B,nao,0
22.0,105180.18,3.7,21191.0,8.69,0.201,8.0,arrendada,educacao,A,nao,0
